temp,result
36.573770535781065,outside
30.013727616861026,outside
21.0165860026558,inside
33.422349931206455,outside
16.19648235232804,inside
25.1772955040741,inside
23.21300647556411,inside
31.269835752229795,outside
24.621758091559457,inside
28.532105785442724,inside
25.131630220428434,inside
24.992822099448755,inside
35.934324105212085,outside
36.230316222957796,outside
27.844247455277642,inside
38.49122716021094,outside
20.43573539978071,inside
32.52881633188242,outside
38.10347477939402,outside
23.500789900892393,inside
33.53125184213646,outside
27.38708177658094,inside
32.65143272421502,outside
36.24596437321014,outside
27.541099827743217,inside
29.296655016665078,inside
33.10001794127322,inside
35.21422892995528,outside
33.50674522195624,outside
30.199644466849715,outside
35.17539900748428,outside
22.844307823795177,inside
29.281111579343314,inside
30.364576155611445,outside
22.926022962258628,inside
33.37728516104613,outside
27.702189995794534,inside
31.913188820341485,outside
27.195171878238163,outside
29.04950259199069,inside
23.153571327258938,outside
29.393410632707646,inside
19.47272111795778,inside
31.318877118377177,outside
25.296088060436553,inside
18.498782713015014,inside
31.27163801470206,outside
41.15045643395567,outside
23.807917905487933,inside
28.436496861557675,inside
25.82123346127987,inside
26.907637211307474,inside
33.371775345966995,outside
38.49914091863516,outside
25.104018689350703,inside
27.236859473032116,inside
23.414716862343916,inside
26.37749400459088,inside
33.5890476179434,outside
32.112178746388295,outside
39.48188252037601,outside
17.641176164274725,inside
40.99536744213607,outside
37.82324487558827,outside
29.4310567000539,inside
31.486315328634216,outside
19.401682759305306,inside
29.63754423148458,inside
28.93027664177495,inside
37.91968752553135,outside
27.252195503435733,inside
29.421370673043782,inside
27.864538547097794,inside
30.600812975651667,outside
30.648084725877005,outside
40.845784834024116,outside
29.39702964998746,inside
35.073780569320625,outside
20.69794988035131,inside
21.266471672625507,inside
31.587541992189855,outside
31.828010127904502,outside
32.83579775611109,outside
41.9873184332356,outside
27.31223196930015,inside
35.11040045549548,outside
36.28279450707967,outside
37.598888174011684,outside
39.25942442288374,outside
34.509999375707515,outside
26.663002188526356,inside
20.38820512861699,inside
32.68625136010389,outside
31.353594790403722,outside
34.232382482656575,outside
41.328361447474954,outside
26.94650084867228,inside
34.477521396163326,outside
27.35759201557643,inside
25.20154267133681,inside
26.654861632540356,inside
32.6966597153724,outside
26.93426404160877,inside
30.54133276186797,outside
31.473160473837986,outside
23.7471399635403,inside
36.55933738242524,outside
34.456528807215854,outside
36.33698426286021,outside
33.223531720003194,outside
30.661443266893322,outside
40.46128434563815,outside
36.624169870441364,outside
24.349103927221233,inside
33.97652074652529,outside
25.98497660913487,inside
34.4876595194674,outside
28.79281578762627,inside
28.234858457933196,inside
30.17339098991966,outside
37.563425269180314,outside
23.040934838443015,inside
36.44179049915863,outside
19.183693700271455,inside
25.870630430166422,inside
34.87245194133987,outside
28.418532329848166,inside
28.22614576415856,inside
26.480882444256643,inside
43.326292699203435,outside
26.826566553698385,inside
26.246292402009036,inside
28.612667615946044,inside
21.2416341371283,inside
24.752708855105695,inside
32.602498115765776,outside
36.553423853221005,outside
22.04905706881343,inside
21.642522114080368,inside
29.83522428072218,inside
28.99777462611544,inside
37.55171057437501,outside
31.450274254005553,outside
37.8244268375877,outside
25.84864734260604,inside
31.108640046909454,outside
28.8614906564419,inside
31.5204219912976,outside
31.447441490440376,outside
35.584938358545536,outside
24.556458578749925,inside
26.03162779208205,inside
30.941996644063135,outside
15.447102608683881,inside
25.82223852568563,inside
25.931132721648623,inside
22.903689053969494,inside
37.99128182565212,outside
24.676113807365134,inside
27.84787158095974,inside
31.19036110306492,outside
17.539143162859062,inside
35.313655596230795,outside
28.9279146743521,inside
23.132685499924463,inside
30.702446250368038,outside
42.69284539518736,outside
21.558135227376066,inside
35.36958036939336,outside
39.25280072453657,outside
42.93559291217382,outside
44.47621511173907,outside
27.994430990119664,inside
16.323164353837235,inside
28.335308943894148,inside
23.300483825327802,inside
30.50788631941555,outside
30.92472634501201,outside
24.472886214295624,inside
21.434440630501022,inside
32.1457148261939,outside
44.7181546408736,outside
29.377125093582197,inside
31.397064341661622,outside
21.441216531457528,inside
36.23929255593835,outside
31.045220853076792,outside
39.90458790121467,outside
27.502833570688477,inside
18.621820755562155,inside
21.973458070003954,inside
34.48237350054407,outside
39.45734570830284,outside
22.658563885033708,inside
26.632352396410838,inside
39.891451402130485,outside
32.44398086482794,outside
27.946537222671743,inside
32.97749139747257,outside
26.330142670770535,inside
31.013216385840902,outside
17.88226899002847,inside
24.20170417866936,inside
28.6877372416489,inside
24.19342595851391,inside
27.982173863567198,outside
19.117729497509604,inside
25.776750951472962,inside
22.20717867568883,inside
33.97363348614485,outside
26.624363862035583,inside
33.794446434333125,outside
24.3843314353108,inside
26.2189633961145,inside
30.906573084825645,outside
26.94533646919979,inside
39.12061610431217,outside
29.255536643381763,inside
28.966753541068268,inside
33.00558357800427,outside
22.72692544881702,inside
32.7473138284308,outside
26.702297211028334,inside
35.67627212723709,outside
33.88046361251187,outside
32.900968211785745,outside
36.32594884604257,outside
26.262263909777452,inside
33.903665376636816,outside
23.038006453771708,inside
29.79726182651904,inside
30.92235063567317,outside
24.19065193770178,inside
33.907288443952844,outside
22.18430165310071,inside
29.99064677863293,inside
22.947268099237807,inside
34.7914087604906,outside
32.31949553502558,outside
21.251828301625263,inside
29.646219558906356,inside
27.259060921677545,inside
37.35662751200441,outside
25.5246182348317,inside
26.737190427231802,inside
32.513362145323654,outside
8.069480909375365,inside
29.55037456965766,inside
39.01127480277791,outside
28.176289925368767,inside
38.035397917434715,outside
38.75648422951876,outside
37.62507372645329,outside
40.19559950314914,outside
23.004479982258236,inside
34.770695398351485,outside
30.37155680696271,outside
24.459817775443014,inside
22.941251057207076,inside
27.47447144197871,inside
32.618145560466715,outside
36.77490558803482,inside
29.8187236392943,inside
19.865472815426845,inside
26.412495901746553,inside
27.163306902786438,inside
39.63300919049586,outside
20.515652134109466,inside
28.02787939830066,inside
34.604608374917454,outside
28.45745791214955,inside
33.44000444847766,outside
15.17267215859996,inside
28.129448133125173,inside
34.03635163373832,outside
38.03297933438124,outside
36.528233014570276,outside
27.498516244707236,inside
36.88970737871967,outside
25.556480109856217,inside
29.34681708839518,inside
40.23635748891739,outside
31.26854190135224,outside
30.946484380114633,outside
25.942104818535825,inside
28.947729264607855,inside
41.08035008101396,outside
19.278194606694164,inside
31.541984673514982,outside
19.497617080024934,inside
27.491341045727886,inside
19.702777803319766,inside
39.35030407128469,outside
33.47608055854065,outside
24.469777496874,inside
29.650920482870294,inside
29.69857134330518,inside
30.806340435597505,outside
23.252106755679854,inside
25.60658032387178,inside
40.58895530275042,outside
32.0408088668828,outside
28.853378931995692,inside
36.8295331245189,outside
22.42006920255488,inside
33.49968278165821,outside
35.0716261766752,outside
27.80564835373718,inside
23.04505883558195,inside
28.949295810085182,inside
33.40573185069531,outside
22.03347654195459,inside
32.723615330422646,outside
35.5558506042877,outside
32.92594039477288,outside
16.846804058707693,inside
38.548944373566385,outside
21.90517746176904,inside
36.38029534144813,outside
26.798396112717974,inside
28.01841000301258,inside
26.122636140937182,inside
18.184293050713535,inside
38.498453374951694,outside
32.28553308469163,outside
43.22045204372161,outside
25.320440217115053,inside
30.585270706750535,outside
27.388605328405315,inside
20.290878986382424,inside
28.650881665230887,inside
18.480777539145993,inside
28.518890307301827,inside
43.50945454498918,outside
19.37793407818982,inside
36.65459679286031,outside
27.31675976825906,inside
17.53815886563372,inside
26.740242998349096,inside
36.73420767180676,outside
27.554463932041827,inside
34.71595687621879,outside
36.399665729422416,outside
36.03124636878829,outside
31.620506468086585,outside
20.828472106417998,inside
35.87216635237658,outside
24.62577239640862,inside
26.91130395051155,inside
24.4121444507554,inside
21.511083255144086,inside
14.240461652916292,inside
28.54574725136933,inside
38.877595236117436,outside
39.85097414315704,outside
33.49897627489682,outside
39.97818826927109,outside
38.644661618724705,outside
28.878944921864672,inside
33.930109091168205,outside
42.66777800459751,outside
27.783919639291778,inside
25.59770105868488,inside
30.679766563755216,outside
30.79030093856535,outside
30.501943416917708,outside
23.37314203845058,inside
25.075982883338618,inside
29.35982079477892,inside
23.7863105295661,inside
23.55601292852282,inside
26.12230548653946,inside
27.412548135903734,inside
21.981474437975493,inside
33.4473903542095,outside
32.49398023523164,outside
29.376686060669545,inside
28.260006693918246,inside
32.43059746601356,outside
19.973935005406226,inside
24.833861361070447,inside
34.44589460444489,outside
39.022006763358846,outside
38.348181047483585,outside
28.306173905968432,inside
36.350561760193045,outside
32.774884515650854,outside
23.097306719472833,inside
25.49382237953217,inside
39.20310920873754,outside
36.982714294451156,outside
27.97596256786623,inside
34.95861245306084,outside
29.85684102359894,inside
34.98221222573681,outside
39.04400051711862,outside
36.04305032683873,outside
26.065492436165165,inside
21.96407857479595,inside
19.80306013077746,inside
31.946480825091214,outside
19.786358822460492,inside
19.54174089657267,inside
29.997127691588968,inside
31.64907958314102,outside
38.18482723440303,outside
29.708686687853827,inside
28.259379369353333,inside
19.628514599802514,inside
31.61698265885652,outside
35.183560066391294,outside
28.781727683742044,inside
20.291619980481453,inside
38.28054812488471,outside
36.0194152320293,inside
34.8718851273226,outside
29.648627696729676,inside
23.90847435992231,inside
31.331398547527215,outside
30.02626656428892,outside
20.80371595288896,outside
